id,estado,evidencia_textual,refuerzo_pico,nota_contexto
INTROA-ANT-01,CONFIRMADO,"""Wastewater-Based Epidemiology (WBE) is a new epidemiology tool that has potential to act as a complementary approach for current infectious disease surveillance systems and an early warning system for disease outbreaks. WBE postulates that through the analysis of population pooled wastewater... the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time"" (sims-2020, p.1)","""not only did WBS-measured SARS-CoV-2 RNA correlate strongly with COVID-19 clinical disease within monitored populations but also, in fact, it functioned as a leading indicator"" (parkins-2023, p.2)","El abstract y la introduccion de Sims presentan la WBE como enfoque complementario y de alerta temprana sobre la poblacion agrupada en el alcantarillado; Parkins confirma la correlacion con la clinica y su rol como indicador adelantado. Respalda la idea."
INTROA-ANT-02,CONFIRMADO,"""the model estimated a median range of 171 to 1,090 infected persons in the catchment, which is in reasonable agreement with clinical observations"" (ahmed-2020, p.1)","""WBE postulates that through the analysis of population pooled wastewater, infectious disease and resistance spread, the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time"" (sims-2020, p.1)","Ahmed muestra que el ARN en aguas permite estimar infectados coherentes con la clinica; Sims encuadra el reflejo comunitario. Medema_2020 no tiene PDF en el repo (co-cita foundational), pero la idea queda sostenida por Ahmed."
INTROA-ANT-03,CONFIRMADO,"""indicating that wastewater sequencing can provide evidence for recent introductions of viral lineages before they are detected by local clinical sequencing"" (crits-christoph-2021, p.1)","""we found that the genetic diversity of SARS-CoV-2 is significantly greater in wastewater samples than clinical samples"" (s41586-022-05049-6/Karthikeyan_2022, p.102)","Crits-Christoph documenta el paso de deteccion a vigilancia genomica (linajes antes que la clinica); Karthikeyan confirma mayor diversidad genetica en aguas. Respalda la idea."
INTROA-ANT-04,CONFIRMADO,"""ES complements clinical acute flaccid paralysis (AFP) surveillance for possible polio cases. ES detects poliovirus circulation in environmental sewage and is used to monitor transmission in communities"" ... ""asymptomatically infected and not showing clinical signs of paralysis"" (asghar-2014, p.1-2)","""the initiative has invested heavily in environmental surveillance in low-income and middle-income countries as a supplement to surveillance for cases of acute flaccid paralysis"" (PIIS0140673622018049/Klapsa_2022, p.1532)","Asghar define la vigilancia ambiental de poliovirus como complemento de la AFP capaz de detectar portadores asintomaticos; Klapsa la describe como suplemento de la vigilancia de PFA. Respalda la idea."
INTROA-ANT-05,CONFIRMADO,"""RSV genomic ribonucleic acid can be detected in wastewater settled solids at two publicly owned treatment works... its concentration in settled solids is strongly associated (Kendall's tau = 0.65-0.77, p < 10-7) with clinical positivity rates for RSV"" (hughes-2022, p.1)","""RSV RNA concentration aggregated at state and national levels correlated with infection positivity and hospitalization rates"" (Zulli_2024, p.1657)","Hughes detecta ARN de RSV en solidos y lo asocia fuertemente con la positividad clinica; Zulli confirma la correlacion con positividad y hospitalizaciones. Respalda la idea."
INTROA-PRO-01,CONFIRMADO,"Bubba: ""particularly if the pathogens in question circulate largely asymptomatically and are therefore unlikely to be noted in case-based testing"" (microorganisms-11-02496, p.2); Parkins: ""This number underestimates the true burden of the disease, given the limited availability of testing"" (parkins-2023, p.3)","""results from clinics are often from a very small proportion of the population who are ill and hence not representative of the population as a whole, as many people can be carriers of a disease... and not experience symptoms (asymptomatic in case of diseases)"" (sims-2020, p.9)","Bubba respalda el subregistro de casos asintomaticos y Parkins la subestimacion por pruebas limitadas; Sims aporta la no representatividad de la clinica. Respalda la idea (los 'retrasos' son inferencia razonable)."
INTROA-PRO-02,CONFIRMADO,"""This number underestimates the true burden of the disease, given the limited availability of testing in some areas and the limited role of clinical testing later in the pandemic, particularly since the onset of the Omicron BA.1 wave, which spread so rapidly that it exceeded clinical testing capacity"" (parkins-2023, p.3)","""Inferring lineage prevalence by clinical testing is infeasible at scale, especially in areas with limited resources, participation, or testing"" (s41586-022-05049-6/Karthikeyan_2022, p.101)","Parkins atribuye la subestimacion a la escasez de pruebas y al colapso de la capacidad diagnostica en la ola Omicron BA.1; Karthikeyan refuerza la inviabilidad de la clinica a escala. Respalda la idea."
INTROA-PRO-03,CONFIRMADO,"""Intrinsic to WBS is its unique ability to monitor an entire population (irrespective of symptoms or the ability to access clinical testing) objectively, passively, and comprehensively, thus being inclusive and representative"" (parkins-2023, p.2)","""WBE could be utilised as a complementary surveillance technique which can give rapid, reliable information on a population that can inform what diseases are present in a community"" (sims-2020, p.8)","Parkins describe la WBS captando a toda la poblacion con independencia de sintomas o acceso a pruebas; Sims aporta la vision representativa a escala comunitaria. Respalda la idea."
INTROA-PRO-04,CONFIRMADO,"""differences between LMIC and HIC programs generally related to financial support, which limited the frequency with which sampling could be performed and precluded more advanced investigations"" such as detecting emerging variants (parkins-2023, p.39)","""there are environmental and socioeconomic factors... the aging and defects of sewage collection infrastructures constitute challenges"" (Sangsanont_2022, p.2)","Parkins detalla las limitaciones de LMIC (financiamiento, frecuencia de muestreo, vigilancia de variantes); Sangsanont anade la infraestructura de alcantarillado deficiente. Respalda la idea."
INTROA-PRO-05,CONFIRMADO,"""the low clinical attack rate following infection with virulent polioviruses (<=1:100 paralytic case/infections). This calls for specific and sensitive virus-tracking tools"" (zurbriggen-2008, p.5608)","""the low clinical attack rate following infection with virulent polioviruses (<=1:100 paralytic case/infections)"" (zurbriggen-2008, p.5608)","Zurbriggen afirma la baja tasa de ataque clinico del poliovirus virulento (<=1 caso paralitico por 100 infecciones) como motivo para vigilancia ambiental sensible. Respalda la idea."
