id,estado,evidencia_textual,refuerzo_pico,nota_contexto
MET-JUST-01,CONFIRMADO,"""Intrinsic to WBS is its unique ability to monitor an entire population (irrespective of symptoms or the ability to access clinical testing) objectively, passively, and comprehensively, thus being inclusive and representative"" (Parkins_2023, p.2)","""Build up trends if survey is done repeatedly"" (Sims_2020, p.3)","La Introduccion de Parkins define la WBS como analisis sistematico de residuos para entender a la poblacion de origen; respalda el marco poblacional continuo del diseno observacional-longitudinal. El pico de Sims es una ventaja generica de encuestas repetidas dentro de una tabla, no especifica de WBE, pero apoya la logica del muestreo repetido."
MET-JUST-02,CONFIRMADO,"""monitor an entire population (irrespective of symptoms...)"" (Parkins_2023, p.2); ""Wastewater surveillance can be applied for two main purposes: firstly, to enable early detection of an introduction or emergence of pathogens (absence or presence) and to monitor their spread; secondly, to monitor the changes in transmission and prevalence"" (Bubba_2023, sec.3.1)","""WBE postulates that through the analysis of population pooled wastewater, infectious disease and resistance spread, the emergence of new disease outbreak to the community level can be monitored comprehensively and in real-time."" (Sims_2020, p.2)","Parkins sostiene la inclusividad (sintomaticos/asintomaticos) y la escala comunitaria; Bubba respalda deteccion de presencia, propagacion y cambios de transmision. Bubba es una revision de enterovirus no-polio, por lo que no enuncia literalmente 'diversidad genetica' de poliovirus: esa parte de la idea es sintesis del autor, no cita directa."
MET-JUST-03,CONFIRMADO,"""A torpedo-type passive sampling device containing a nylon membrane, gauze..."" (MejiaCalle_2024, p.31/abstract); ""multiplex PCR was used for sequencing with Oxford Nanopore Technology. Bioinformatic analysis was conducted using Freyja... lineages such as HN.1, EG.5.1.6, XBB.1.5.1.5, and HV.1 detected"" (MejiaCalle_2024, p.10/abstract)","""predominance of the Omicron variant was observed, with lineages such as HN.1, EG.5.1.6, XBB.1.5.1.5, and HV.1 detected"" (MejiaCalle_2024, p.10)","La tesis de Mejia Calle es el antecedente local directo: uso dispositivo pasivo impreso en 3D en la PTAR Quitumbe y asigno linajes SARS-CoV-2 por Nanopore/Freyja. Contexto respalda plenamente la factibilidad local afirmada."
MET-AREA-01,CONFIRMADO,"""serves 11 neighborhoods in the Metropolitan District of Quito... The samplers were immersed for 24 hours once a week in the incoming wastewater at the Quitumbe WWTP, where the flow rate is 75 L/s."" (MejiaCalle_2024, p.32)","""week in the incoming wastewater at the Quitumbe WWTP, where the flow rate is 75 L/s."" (MejiaCalle_2024, p.32)","El pasaje describe el pozo de entrada del influente de la PTAR Quitumbe que sirve a 11 barrios del DMQ con caudal de 75 L/s; coincide exactamente con la caracterizacion del sitio centinela."
MET-MUES-01,CONFIRMADO,"""A torpedo-type passive sampling device containing a nylon membrane, gauze..."" (MejiaCalle_2024, abstract); ""The samplers were immersed for 24 hours once a week"" (MejiaCalle_2024, p.32)","""Passive sampling for SARS-CoV-2 RNA, which generally employs simple adsorption media (e.g., a classic Moore swab, using cotton, gauze, or tampons), is often less expensive and simpler to use for the actual sampler deployment"" (Parkins_2023, p.9)","Mejia describe el torpedo con membrana de nailon (0.45 um), gasa e hisopos sumergido 24 h, generando muestra integrada; Parkins encuadra el muestreo pasivo con medios de adsorcion (gasa/algodon) como enfoque simple y economico. Ambos en contexto."
MET-MUES-02,CONFIRMADO,"""Since they also concentrate the target analyte, they can effectively achieve a lower detection limit and better sensitivity than a grab sample (124), which can be appropriate for sentinel applications where the switch from non-detectable to detectable is the key monitoring objective"" (Parkins_2023, p.10)","""Studies have reported discrepant results as to whether passive samplers have improved sensitivity compared to composite samplers (125, 126)"" (Parkins_2023, p.10)","Parkins respalda mayor sensibilidad frente al muestreo PUNTUAL (grab) para aplicacion centinela, verbatim confirmado. La 'validacion' central recae en Schang_2021 (ausente del repo); ademas Parkins califica como equivoca la comparacion frente al muestreo COMPUESTO. La idea queda respaldada solo en su comparacion vs grab."
MET-PREC-01,CONFIRMADO,"""Evaluation of Secondary Concentration Methods for Poliovirus Detection in Wastewater... Of the five tested methods, PEG/NaCl precipitation and skimmed-milk flocculation resulted in the highest PV1 recoveries"" (Falman_2019, p.1)","""Of the five tested methods, PEG/NaCl precipitation and skimmed-milk flocculation resulted in the highest PV1 recoveries."" (Falman_2019, p.1)","Falman evalua metodos de concentracion secundaria para poliovirus (PV1) en aguas residuales y sitúa a PEG/NaCl entre los de mayor recuperacion; respalda directamente el uso de PEG como concentracion secundaria para virus entericos/poliovirus."
MET-PREC-02,CONFIRMADO,"""by preparing a 2X PEG solution, following the protocol by Woods and Jones (2021)... 20g of PEG and 3.48g of NaCl are added... samples are mixed in a Stomacher for 2 minutes at 200rpm... the remaining pellet is resuspended in 300uL of Shield2X"" (MejiaCalle_2024, p.33)","""by preparing a 2X PEG solution, following the protocol by Woods and Jones (2021), in this protocol, 20g of PEG and 3.48g of NaCl are added to a BOECO flask"" (MejiaCalle_2024, p.33)","Los parametros del protocolo local (20 g PEG + 3,48 g NaCl en 200 mL, Stomacher 2 min/200 rpm, resuspension en Shield2X) coinciden verbatim con Mejia Calle; la cifra de resuspension real es 300 uL en Shield2X, consistente con la idea."
MET-EXTR-01,FUERA_DE_CONTEXTO,,"""PEG pre-concentration method improves the recovery and detection of viral RNA from wastewater."" (MejiaCalle_2024, p.39)","La afirmacion comparativa ('recuperacion eficiente con preservacion del ARN' del kit Quick-RNA Viral de Zymo) descansa en OBrien_2021, que NO esta en el repositorio, y en Zymo_2023 (protocolo de fabricante). El unico verbatim disponible (MejiaCalle p.39) es literal pero respalda que el PEG mejora la recuperacion, no una comparacion entre kits; Mejia eligio el kit Zymo 'due to its availability', no por superioridad demostrada. Sin fuente en repo para la idea tal como esta enunciada."
MET-RTQ-01,CONFIRMADO,"""Some of these assays, especially CDC N1, N2 and N3, and E_Sarbeco have been used to detect SARS-CoV-2 in wastewater samples from the Netherlands (Medema et al., 2020) and USA (Wu et al., 2020a)"" (Ahmed_2020, p.7); ""SARS-CoV-2 Primer/Probe Mix (N1/N2/RP)"" (MejiaCalle_2024, p.34)","""especially CDC N1, N2 and N3, and E_Sarbeco have been used to detect SARS-CoV-2 in wastewater samples from the Netherlands"" (Ahmed_2020, p.7)","Ahmed respalda el uso AMPLIO de N1/N2 en aguas residuales solo en su Discusion (citando a Medema y Wu); el propio Ahmed empleo los ensayos N_Sarbeco y NIID, no N1/N2. El ensayo CDC N1/N2 (Lu_2020) no esta en el repo. Mejia si empleo la mezcla N1/N2/RP. Contexto respalda la idea con esa atribucion."
