id,estado,evidencia_textual,refuerzo_pico,nota_contexto
INTROC-SARS-01,CORREGIDO,"""El gran genoma de ARN de cadena positiva (27.000 a 30.000 bases)... poseen el genoma mas largo de acido ribonucleico (ARN) de cadena positiva"" (Murray 9a ed, Cap.47 Coronavirus, p.472)","""The S protein protrudes from the host-derived viral envelope and provides specificity for cellular entry receptors via the angiotensin-converting enzyme 2."" (Parkins_2023, p.5)","Murray Cap.47 es pre-pandemia (palabras clave: Resfriado comun, SARS, MERS) y solo respalda la biologia generica del coronavirus (envuelto, ssRNA+, genoma + mas largo 27000-30000 bases); no menciona SARS-CoV-2, betacoronavirus, Coronaviridae, ACE2 ni COVID-19. La entrada por ACE2/espicula la aporta Parkins."
INTROC-SARS-02,CONFIRMADO,"""The Omicron variant is notable for having 26-32 mutations in the spike protein."" (Zahmatkesh_2022, hazadv, p.2)","""The Omicron variant is notable for having 26-32 mutations in the spike protein."" (Zahmatkesh_2022, p.2)",El pasaje trata explicitamente de la variante Omicron (B.1.1.529) reportada en nov-2021 y cifra 26-32 mutaciones en la espicula; respalda la idea sin ambiguedad.
INTROC-SARS-03,CONFIRMADO,"""Timely and accurate quantification of local prevalence of SARS-CoV-2 variants is thus essential for effective public health"" (Karthikeyan_2022, s41586-022-05049-6, intro)","""Wastewater-based epidemiological surveillance has been considered a powerful tool for early detection and monitoring of the dynamics of SARS-CoV-2 and its lineages circulating in a community."" (Haque_2023, p.1)",El contexto de Karthikeyan enmarca la cuantificacion de variantes como esencial para la salud publica; respalda que el seguimiento genomico se volvio prioritario. Refuerzo Haque literal (Background).
INTROC-SARS-04,CORREGIDO,"""For the detection of SARS-CoV-2, the N_Sarbeco and NIID_2019-nCoV_N assays were used"" y ""CDC N1, N2 and N3, and E_Sarbeco have been used to detect SARS-CoV-2 in wastewater samples from the Netherlands (Medema et al., 2020)"" (Ahmed_2020, ahmed-2020)","""The US CDC N1 and N2 multiplex RT-qPCR assays targeting two different regions of the SARS-CoV-2 N gene..."" (Sangsanont_2022, p.3)","Ahmed_2020 NO empleo N1/N2 (uso N_Sarbeco y NIID) y atribuye los ensayos CDC N1/N2/N3 a Medema/Paises Bajos; la adopcion amplia de N1/N2 debe atribuirse al CDC y a estudios como Sangsanont, no a Ahmed."
INTROC-SARS-05,CONFIRMADO,"""Genome Sequencing of Sewage Detects Regionally Prevalent SARS-CoV-2 Variants"" y ""The results demonstrate genomic accuracy for recovery of consensus SARS-CoV-2 genomes so long as sufficient coverage is achieved in metatranscriptomic data sets."" (Crits_Christoph_2021, crits-christoph-2021, p.4)","""Consensus genomes may represent predominant SARS-CoV-2 lineages in the population in the serviced areas during the summer of 2020. The results demonstrate genomic accuracy for recovery of consensus SARS-CoV-2 genomes so long as sufficient coverage is achieved..."" (Crits_Christoph_2021, p.4)",El titulo y la discusion condicionan la recuperacion de linajes predominantes a lograr cobertura suficiente en los datos metatranscriptomicos; respalda la idea con precision.
INTROC-SARS-06,CONFIRMADO,"""295-day wastewater and clinical sequencing effort"" / ""near 95% genome coverage even for samples with low viral load"" / ""we developed Freyja, a tool to estimate the relative abundance of virus lineages in a mixed sample"" / ""detected emerging variants of concern up to 14 days earlier in wastewater samples"" (Karthikeyan_2022)","""We detected emerging variants of concern up to 14 days earlier in wastewater samples, and identified multiple instances of virus spread not captured by clinical genomic surveillance."" (Karthikeyan_2022, p.1)","Los cuatro elementos (295 dias, ~95% cobertura con baja carga, Freyja, VOC hasta 14 dias antes) constan verbatim en el paper de UCSD; respaldan la idea integramente."
INTROC-SARS-07,CONFIRMADO,"""la variante omicron, con linajes como HN.1, EG.5.1.6, XBB.1.5.1.5 y HV.1"" y ""the JN.1 lineage was first detected in wastewater, preceding its appearance in clinical samples by several months. The same phenomenon occurred in our study in Ecuador"" (MejiaCalle_2024, 00331348)","""the JN.1 lineage appeared during the infection peaks in Quito in October 2023 and February 2024, showing proportions similar to those found in circulating clinical samples... and, in some cases, appearing even before clinical identification."" (MejiaCalle_2024, p.10)","La tesis local (PTAR Quitumbe, Nanopore+Freyja, muestreo pasivo) documenta linajes de Omicron y la deteccion ambiental de JN.1 antes de la identificacion clinica local; respalda la idea."
INTROC-RSV-01,CORREGIDO,"""Virion grande constituido por un genoma de ARN de sentido negativo en una nucleocapside helicoidal rodeada por una envoltura"" y Tabla 48.1 ""Paramyxoviridae"": Pneumovirus -> Virus respiratorio sincitial (Murray 9a ed, Cap.48, Tabla 48.1)","""RSV is an enveloped, single-stranded, negative-sense RNA virus that infects humans and has two subtypes, RSV A and RSV B"" (Zambrana_2024, p.2)","Murray 9a ed clasifica al VRS en la familia PARAMYXOVIRIDAE (Tabla 48.1), genero Pneumovirus; no usa la familia Pneumoviridae que afirma la tesis (nomenclatura ICTV posterior). Envoltura y ssRNA(-) si constan verbatim."
INTROC-RSV-02,CONFIRMADO,"""It has two subtypes, RSV A and RSV B, but little is known regarding the predominance of these subtypes during different seasons"" y ""typically one subtype predominates in a particular season"" (Zambrana_2024)","""Multiple subtypes can circulate simultaneously within the population, with dominant subtypes typically shifting from year to year."" (Le_2025, p.2)",Zambrana afirma los dos subgrupos RSV-A/RSV-B y que uno suele predominar por temporada; Le refuerza la alternancia interanual. Respaldan la idea.
INTROC-RSV-03,CONFIRMADO,"""In the US, RSV annually accounts for up to 80,000 hospitalizations and over 520,000 emergency department visits in children under 5"" (Zulli_2024)","""Each year in the United States, RSV causes between 58,000 and 80,000 children hospitalizations and 6,000-10,000 older adult deaths"" (Zambrana_2024, p.1)",Zulli cifra hasta 80.000 hospitalizaciones pediatricas anuales en EEUU en menores de 5; respalda la idea. El rango 58.000-80.000 de Zambrana es coherente.
