id,estado,evidencia_textual,refuerzo_pico,nota_contexto
INTROD-RTqPCR-01,CONFIRMADO,"""were enumerated using reverse transcriptase quantitative polymerase chain reaction (RT-qPCR)"" (Ahmed_2020, p.1); ""value obtained acted as a reference point. If the Cq value of a wastewater"" (Ahmed_2020, p.3); ""The slope of the standards for N_Sarbeco and NIID_2019-nCOV_N assays were..."" (Ahmed_2020, p.5)","""For quantification, 5-point standard curves in duplicate were made by serial dilution of a SARS-CoV-2 RNA transcript (CNR..."" (Barbe_2022, p.3)","Ahmed instancia RT-qPCR con Cq como punto de referencia y curvas estandar; Barbe describe la curva de 5 puntos. Respalda la descripcion del metodo. Medema_2020 co-citado NO esta en el repo (mapa=FALTA)."
INTROD-RTqPCR-02,CORREGIDO,"""in Australia using RT-qPCR assay, confirmed by sequencing"" (Ahmed_2020, p.1); ""and some assays may produce false-positive results, we recommend sequencing RT-qPCR products for confirmation"" (Ahmed_2020, p.6)","""viral RNA copies were enumerated using reverse transcriptase quantitative polymerase chain reaction (RT-qPCR) resulting in two positive detections..."" (Ahmed_2020, p.1)","Ahmed respalda ""central desde los primeros reportes"" y ""confirma la presencia viral"", pero su secuenciacion fue para CONFIRMAR especificidad, no para SELECCIONAR muestras. La clausula ""decide que muestras avanzan a secuenciacion"" debe atribuirse a MejiaCalle_2024 (seleccion por Ct), no a Ahmed. Medema_2020 no esta en el repo."
INTROD-RTqPCR-03,CONFIRMADO,"""recovery and fecal strength control for the wastewater"" (Hughes_2022, p.175); ""BCoV was spiked into the samples and used as an [internal control]... greater than 10% BCoV recovery"" (Hughes_2022, p.175); ""RNA concentrations by PMMoV and found similar results"" (Hughes_2022, p.176)","""Normalizing by PMMoV can serve to correct for sample-to-sample changes in RNA extraction efficiency, concentrations..."" (Hughes_2022, p.176)","Hughes usa PMMoV/BCoV como controles de recuperacion y normaliza por PMMoV. Matiz: describe REMOCION de inhibidores con el kit Zymo OneStep-96 (p.174), no una 'evaluacion de inhibicion' explicita; el resto del esquema de controles queda respaldado."
INTROD-RTqPCR-04,CONFIRMADO,"""only 36 samples could be sequenced, as the remaining 11 samples had very late CT values"" (MejiaCalle_2024, p.45)","""only 36 samples could be sequenced, as the remaining 11 samples had very late CT values, which prevented successful sequencing"" (MejiaCalle_2024, p.45)","Verificado en p.45: 11 de 47 muestras no se secuenciaron por CT muy tardios, vinculando carga RT-qPCR y recuperacion genomica en Quitumbe."
INTROD-RTqPCR-05,CONFIRMADO,"""of wastewater-associated 'metadata' are often useful during quality assurance and data interpretation"" (Parkins_2023, p.10); ""To assess the impact of these factors on reducing PCR efficiency, an internal control [should be assessed in each sample]"" (Parkins_2023, p.18)","""To assess the impact of these factors on reducing PCR efficiency, an internal control should be assessed in each sample"" (Parkins_2023, p.18)","Parkins sostiene el uso de metadatos y control interno por muestra para la interpretacion; respalda la sintesis."
INTROD-PCRmultiple-01,CORREGIDO,"""amplicon-based methods are inexpensive to implement and can be performed with standard laboratory equipment"" (Le_2025, p.7, NO p.6); ""[hybrid capture is] more expensive to implement, more time-consuming"" (Le_2025, p.6)","""Amplicon sequencing only requires a PCR cycler and cheap laboratory equipment. Nanopore sequencing requires no costly equipment, can be performed in... resource-limited settings and allows rapid analysis"" (Le_2025, p.8)","Le respalda menor costo y menor tiempo de los amplicones, pero NO la ""reduccion de volumen de muestra"" (no aparece). Ademas la cita de 'inexpensive...standard equipment' esta en la p.7, no en la p.6 indicada."
INTROD-PCRmultiple-02,CONFIRMADO,"""samples dominated by bacteria. Hybrid-capture enrichment..."" (Child_2023, p.1); ""while amplicon sequencing gave high viral [genome coverage], untargeted shotgun... unable to detect human pathogenic viruses with enough sensitivity"" (Child_2023, p.1)","""while amplicon sequencing gave high viral genome coverage, untargeted shotgun sequencing of total nucleic acid samples was unable to detect human pathogenic viruses with enough sensitivity for use in genomic epidemiology"" (Child_2023, p.1)","Child compara metagenomica shotgun vs amplicones y confirma mayor cobertura por amplicones en muestras dominadas por bacterias."
INTROD-PCRmultiple-03,CONFIRMADO,"""generating 39 amplicons ~ 550 bp in length, and sequenced with Oxford Nanopore Technologies"" (Le_2025, p.1); ""generating 39 overlapping amplicons"" (Le_2025, p.9)","""243 RSV isolates from 2008 to 2025 and wastewater samples... were amplified in a multiplex tiling PCR... generating 39 amplicons ~ 550 bp in length"" (Le_2025, p.1); analisis automatico via RSVTyper/Nextclade (Le_2025, p.1)","Le confirma el panel de 39 amplicones solapados de ~550 pb con Nanopore y analisis automatico (RSVTyper)."
INTROD-PCRmultiple-04,CORREGIDO,"""[MeV and HAV] were not present in sufficient quantities for PCR detection in the wastewater samples"" (Child_2023, p.8); ""nucleic acid degradation in wastewater samples, which [can restrict the contiguous binding of primer pairs]"" (Child_2023, p.11)","""Inhibitory substances in the sample can suppress PCR amplification partially or completely, resulting in incorrect quantification or false-negative results"" (Parkins_2023, p.19)","Child solo respalda causas del NEGATIVO (ausencia del blanco, union deficiente de cebadores a ARN degradado). El 'positivo con Cq tardio requiere cautela por inhibidores/carga baja' corresponde a Parkins (p.19), no a Child; 'perdida durante la extraccion' no se documenta en las fuentes citadas."
INTROD-PCRmultiple-05,CONFIRMADO,"""July 2024, which impacted the detection of circulating lineages and led to the [identification of primitive lineages]"" (MejiaCalle_2024, p.61); ""changes in primer recognition sites may have affected the results by targeting more conserved viral regions"" (MejiaCalle_2024, p.46)","""different primers were used, resulting in the detection of primitive lineages"" (MejiaCalle_2024, p.58)","MejiaCalle liga el cambio de cebadores con el sesgo en la deteccion de linajes. Paginas verificadas: p.61 y p.46 (la cita indicaba p.62/p.47; desfase de 1)."
INTROD-Secuenciacion-01,CONFIRMADO,"""the Sanger method only sequences a single DNA fragment at a time"" (Dash_2024, p.59); ""gold standard for DNA sequencing for approximately 40 years"" (Dash_2024, p.35)","""the method has some limitations, such as poor quality in the first 15-40 bases... deteriorating quality of sequencing reads after 700-900 bases"" (Dash_2024, p.36 impreso / p.61 PDF)","Confirmado con matiz ya senalado: el libro dice ""700-900 bases"" (no 'pares de bases') y ~40 anos como estandar. Paginas del libro verificadas (impresa p.35-36 = PDF p.60-61)."
