id,estado,evidencia_textual,refuerzo_pico,nota_contexto
INTROE-SIT-01,CONFIRMADO,"""secuenciacion con Oxford Nanopore Technology... Se observo un predominio de la variante omicron"" (00331348-MejiaCalle, p.8); ""the JN.1 lineage was detectable from October 2023 to February 2024"" (00331348-MejiaCalle, p.51)","""As observed globally, the JN.1 lineage was first detected in wastewater, preceding its appearance in clinical samples by several months. The same phenomenon occurred in our study in Ecuador."" (00331348-MejiaCalle, p.51)","La tesis local documenta muestreo pasivo tipo torpedo, Nanopore y Freyja en PTAR Quitumbe, predominio de omicron y deteccion de JN.1 en aguas antes que en clinica. Contexto respalda plenamente la idea."
INTROE-SIT-02,CONFIRMADO,"""the data on circulating lineages in Ecuador, as shown in Figure 14, is only current up to July 15, 2024. Additionally, it remains to be seen whether all researchers involved in genomic surveillance have uploaded their data, which limits the ability to compare"" (00331348-MejiaCalle, p.52)","""Our study shows an uneven distribution of genomic surveillance efforts across the Andean countries of Colombia, Ecuador, Peru, and Bolivia."" (bruno-2025, p.5)","MejiaCalle plantea el problema al comparar contra GISAID/CoVariants (datos desactualizados y carga incompleta de secuencias); el contexto respalda la escasez/irregularidad de informacion genomica en Ecuador. Bruno lo generaliza como disparidad regional en LMIC andinos."
INTROE-SIT-03,CORREGIDO,"""SARS-CoV-2 RNA concentration in wastewater successfully tracks regional infection dynamics and provides less biased abundance estimates than clinical testing"" (s41586-022-05049-6/Karthikeyan, p.1); ""it is also more cost-effective than clinical testing"" (s41586-022-05049-6/Karthikeyan, p.7)","""WBS does not suffer from limitations such as selective population sampling bias (i.e., the potential exclusion of members from some disadvantaged classes), does not suffer from testing fatigue and availability, and is not impacted by lags in clinical reporting"" (parkins-2023, p.6)","La idea (menos sesgo poblacional y menor costo que la clinica) esta respaldada literalmente. Correccion: el verbatim de p.7 es ""more cost-effective than clinical testing"", no ""clinical sequencing"" como figuraba."
INTROE-SIT-04,CONFIRMADO,"Titulos verificados: ""Environmental Surveillance for Polioviruses in the Global Polio Eradication Initiative"" (asghar-2014, p.1); ""Respiratory Syncytial Virus (RSV) RNA in Wastewater Settled Solids Reflects RSV Clinical Positivity Rates"" (Hughes, p.1); ""Detection of circulating vaccine-derived poliovirus type 2 (cVDPV2) in wastewater samples: a wake-up call"" (eurosurv-30-3-1/Bottcher, p.1)","""We compare genomic viral wastewater surveillance by untargeted shotgun deep-sequencing with hybrid-capture enrichment using a human respiratory virus probe panel, as well as WGS of a selection of human pathogenic viruses by targeted PCR amplification, including SARS-CoV-2 and poliovirus."" (child-2023, p.3)","Los tres titulos confirman a RSV y poliovirus como blancos documentados de vigilancia ambiental; Child los enmarca como virus patogenos humanos secuenciados desde aguas. Contexto respalda la idea."
INTROE-JUS-01,CONFIRMADO,"""WWS for NPEV and other pathogens represents an inexpensive, flexible, anonymised, reliable, population-based tool for monitoring outbreaks"" (microorganisms-11-02496/Bubba, p.1)","""Combining efforts to use modern molecular-based wastewater surveillance for multiple pathogens to complement clinical surveillance will make the systems more cost-efficient and sustainable."" (microorganisms-11-02496/Bubba, p.8)","Bubba describe la WWS como economica y flexible y, en p.8, sostiene que integrar multiples patogenos aumenta costo-eficiencia y sostenibilidad. Contexto respalda la idea."
INTROE-JUS-02,CONFIRMADO,"""RSV-WEM dominated (lower costs and higher utilities) RSV-CS and remained unaltered in all scenario analyses."" (Mercier_2025, p.2)","""In total, the cost of RSV-WEM was calculated to be CAD$12.31 per infant (infrastructure: CAD$4.07 plus sampling: CAD$8.24)."" (Mercier_2025, p.4)","Estudio canadiense de costo-utilidad: el monitoreo ambiental de RSV dominio a la vigilancia clinica en todos los escenarios, con costo de CAD$12,31 por lactante. Contexto respalda la idea; el escenario es Canada."
INTROE-JUS-03,CONFIRMADO,"Titulo: ""SARS-CoV-2 genomic surveillance in wastewater as a model for monitoring evolution of endemic viruses"" (s41467-023-41369-5/Yousif, p.1)","""wastewater genomics can support SARS-CoV-2 epidemiological investigations by reliably recovering the prevalence of local circulating variants, even when clinical samples are not available."" (s41467-023-41369-5/Yousif, p.1)","Yousif presenta la genomica de aguas como modelo para virus endemicos y afirma la recuperacion de prevalencia de variantes sin muestras clinicas. Contexto respalda plenamente la idea."
INTROE-JUS-04,CONFIRMADO,"""We used wastewater RNA concentrations of influenza A and B (IAV/IBV), respiratory syncytial virus (RSV), human metapneumovirus (HMPV), and SARS-CoV-2 from 175 treatment plants (July 2023-June 2024)."" (Chan_2025, p.1)","""Epidemic peak dates were consistent with prepandemic norms for all viruses. Peak dates for influenza and RSV coincided with high, upward trending SARS-CoV-2 RNA concentrations"" (Chan_2025, p.1)","Chan sigue conjuntamente influenza A/B, RSV, HMPV y SARS-CoV-2 en un mismo flujo de aguas de 175 plantas, con patrones estacionales. Contexto respalda la idea."
INTROE-JUS-05,CONFIRMADO,"""Se utilizo un equipo de muestreo pasivo tipo torpedo para recolectar las muestras... el mismo que se coloco en colectores de aguas residuales de la PTAR Quitumbe, durante 24 horas semanales... secuenciacion con Oxford Nanopore Technology y los datos bioinformaticos fueron analizados en Freyja."" (00331348-MejiaCalle, p.8)","""Se observo un predominio de la variante omicron, con linajes como HN.1, EG.5.1.6, XBB.1.5.1.5 y HV.1. En particular, se detecto el linaje JN.1 durante los picos de infeccion en Quito"" (00331348-MejiaCalle, p.8)","El antecedente local documenta muestreo pasivo + Nanopore + Freyja en la PTAR Quitumbe y la deteccion/caracterizacion de variantes de SARS-CoV-2. Contexto respalda la idea del sitio validado."
INTROE-JUS-06,CONFIRMADO,"""With the design of a probe panel containing species of interest for WBE, this method could provide an efficient means of monitoring a spectrum of human pathogenic viruses simultaneously."" (child-2023, p.2); ""complete VP1 sequences of viruses isolated from sewage samples"" (asghar-2014, p.7)","Titulo: ""Whole-genome nanopore sequencing and automatic downstream analysis of respiratory syncytial virus using RSVTyper... suitable for patient samples as well as wastewater"" (s41598-025-20371-5/Le, p.1)","Existen metodos dirigidos/enriquecimiento (Child, panel de sondas) y protocolos especificos para RSV (Le/RSVTyper, Nanopore, aplicable a aguas) y poliovirus (Asghar, VP1 desde alcantarillado). Contexto respalda la existencia de metodos."
