id,refuerzo_pico
INTROD-RTqPCR-01,"PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR cuantitativa; O: cuantificacion por curva estandar; C: vigilancia WBE] — ""For quantification, 5-point standard curves in duplicate were made by serial dilution of a SARS-CoV-2 RNA transcript (CNR des virus respiratoires, Pasteur Institute, Paris, France) for the IP4 PCR"" (Barbe_2022, p.3)"
INTROD-RTqPCR-02,"PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR; C: primer reporte; O: deteccion positiva; C: primeros reportes en aguas] — ""viral RNA copies were enumerated using reverse transcriptase quantitative polymerase chain reaction (RT-qPCR) resulting in two positive detections within a six day period from the same wastewater treatment plant (WWTP)"" (Ahmed_2020, p.2)"
INTROD-RTqPCR-03,"PICOC[P: RSV en solidos sedimentados; I: RT-qPCR con controles; O: normalizacion por PMMoV; C: aguas residuales] — ""Normalizing by PMMoV can serve to correct for sample-tosample changes in RNA extraction efficiency, concentrations during storage, or differences in the fecal strength of the"" (Hughes_2022, p.4)"
INTROD-RTqPCR-04,"PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR previo a secuenciacion; O: exito de secuenciacion ligado a Cq; C: PTAR Quitumbe] — ""Of these, only 36 samples could be sequenced, as the remaining 11 samples had very late CT values, which prevented successful sequencing"" (MejiaCalle_2024, p.45)"
INTROD-RTqPCR-05,"PICOC[P: aguas residuales; I: deteccion molecular con QC; O: control interno por muestra; C: WBS] — ""To assess the impact of these factors on reducing PCR efficiency, an internal control should be assessed in each sample"" (Parkins_2023, p.18)"
INTROD-PCRmultiple-01,"PICOC[P: virus en aguas; I: PCR por amplicones/Nanopore; O: bajo costo y rapidez; C: entornos de recursos limitados] — ""Amplicon sequencing only requires a PCR cycler and cheap laboratory equipment. Nanopore sequencing requires no costly equipment, can be performed in small research laboratories or resource-limited settings and allows rapid analysis during sequencing"" (Le_2025, p.8)"
INTROD-PCRmultiple-02,"PICOC[P: virus patogenos en aguas; I: amplicones vs metagenomica shotgun; C: dirigido vs no dirigido; O: mayor cobertura por amplicones; C: sewage dominado por bacterias] — ""while amplicon sequencing gave high viral genome coverage, untargeted shotgun sequencing of total nucleic acid samples was unable to detect human pathogenic viruses with enough sensitivity for use in genomic epidemiology"" (Child_2023, p.1)"
INTROD-PCRmultiple-03,"PICOC[P: RSV en aguas/pacientes; I: multiplex tiling PCR 39 amplicones ~550 pb + Nanopore; O: analisis automatico; C: RSVTyper] — ""243 RSV isolates from 2008 to 2025 and wastewater samples from 2023/2024 were amplified in a multiplex tiling PCR with specific primers, generating 39 amplicons ~ 550 bp in length, and sequenced with Oxford Nanopore Technologies"" (Le_2025, p.1)"
INTROD-PCRmultiple-04,"PICOC[P: SARS-CoV-2/aguas; I: RT-qPCR/amplicones; O: falso negativo por inhibidores; C: matriz de aguas residuales] — ""Inhibitory substances in the sample can suppress PCR amplification partially or completely, resulting in incorrect quantification or false-negative results"" (Parkins_2023, p.19)"
INTROD-PCRmultiple-05,"PICOC[P: SARS-CoV-2/aguas; I: cambio de cebadores en amplicones; O: sesgo en deteccion de linajes; C: PTAR Quitumbe] — ""from March 2024 to the first week of July 2024, different primers were used, resulting in the detection of primitive lineages"" (MejiaCalle_2024, p.58)"
