id,refuerzo_pico
INTROE-SIT-01,"PICOC[P: SARS-CoV-2/aguas residuales; I: muestreo pasivo+Nanopore, asignacion linajes; C: aguas vs clinica; O: deteccion adelantada; C: Quito, Ecuador] — ""As observed globally, the JN.1 lineage was first detected in wastewater, preceding its appearance in clinical samples by several months. The same phenomenon occurred in our study in Ecuador."" (MejiaCalle_2024, p.51)"
INTROE-SIT-02,"PICOC[P: SARS-CoV-2, poblacion andina; I: vigilancia genomica; C: entre paises/HIC; O: cobertura/completitud de secuenciacion; C: Ecuador, LMIC andino] — ""Our study shows an uneven distribution of genomic surveillance efforts across the Andean countries of Colombia, Ecuador, Peru, and Bolivia."" (Bruno_2025, p.5)"
INTROE-SIT-03,"PICOC[P: comunidad conectada al alcantarillado; I: WBS; C: vs prueba clinica; O: menor sesgo poblacional; C: salud publica] — ""WBS does not suffer from limitations such as selective population sampling bias (i.e., the potential exclusion of members from some disadvantaged classes), does not suffer from testing fatigue and availability, and is not impacted by lags in clinical reporting"" (Parkins_2023, p.6)"
INTROE-SIT-04,"PICOC[P: virus patogenos humanos (poliovirus, respiratorios) en aguas; I: vigilancia/secuenciacion dirigida; C: metagenomica vs enriquecimiento/amplicon; O: blancos documentados; C: WBE] — ""We compare genomic viral wastewater surveillance by untargeted shotgun deep-sequencing with hybrid-capture enrichment using a human respiratory virus probe panel, as well as WGS of a selection of human pathogenic viruses by targeted PCR amplification, including SARS-CoV-2 and poliovirus."" (Child_2023, p.3)"
INTROE-JUS-01,"PICOC[P: multiples patogenos en aguas; I: WWS molecular; C: vigilancia de un solo blanco; O: costo-eficiencia y sostenibilidad; C: complemento a la clinica] — ""Combining efforts to use modern molecular-based wastewater surveillance for multiple pathogens to complement clinical surveillance will make the systems more cost-efficient and sustainable."" (Bubba_2023, p.8)"
INTROE-JUS-02,"PICOC[P: lactantes/RSV; I: monitoreo ambiental (WEM); C: WEM vs vigilancia clinica (CS); O: dominancia costo-utilidad robusta; C: Canada] — ""RSV-WEM dominated (lower costs and higher utilities) RSV-CS and remained unaltered in all scenario analyses."" (Mercier_2025, p.2)"
INTROE-JUS-03,"PICOC[P: SARS-CoV-2/virus endemico; I: genomica de aguas; C: sin muestras clinicas; O: recuperacion de prevalencia de variantes; C: entorno de ingreso medio] — ""wastewater genomics can support SARS-CoV-2 epidemiological investigations by reliably recovering the prevalence of local circulating variants, even when clinical samples are not available."" (Yousif_2023, p.1)"
INTROE-JUS-04,"PICOC[P: virus respiratorios (IAV/IBV, RSV, HMPV, SARS-CoV-2); I: monitoreo por aguas; C: seguimiento conjunto en un flujo; O: patrones estacionales; C: EE.UU., temporada respiratoria] — ""We used wastewater RNA concentrations of influenza A and B (IAV/IBV), respiratory syncytial virus (RSV), human metapneumovirus (HMPV), and SARS-CoV-2 from 175 treatment plants"" (Chan_2025, p.1)"
INTROE-JUS-05,"PICOC[P: SARS-CoV-2/aguas residuales; I: muestreo pasivo tipo torpedo + Nanopore/Freyja; C: vs muestreo convencional; O: deteccion y caracterizacion de variantes; C: PTAR Quitumbe, Quito] — ""Se utilizo un equipo de muestreo pasivo tipo torpedo para recolectar las muestras... el mismo que se coloco en colectores de aguas residuales de la PTAR Quitumbe, durante 24 horas semanales."" (MejiaCalle_2024, p.8)"
INTROE-JUS-06,"PICOC[P: espectro de virus patogenos humanos en aguas; I: panel de sondas/enriquecimiento dirigido; C: dirigido vs metagenomico; O: monitoreo simultaneo eficiente; C: WBE] — ""With the design of a probe panel containing species of interest for WBE, this method could provide an efficient means of monitoring a spectrum of human pathogenic viruses simultaneously."" (Child_2023, p.2)"
INTROE-JUS-07,"PICOC[P: RSV/aguas; I: monitoreo ambiental sobre infraestructura ya instalada; C: sistema nuevo vs existente; O: costo evitado; C: programas WEM] — ""Scenarios included: amortization of RSV-WEM infrastructure costs over 5 years; using existing WEM infrastructure for RSV detection"" (Mercier_2025, p.2)"
