id,refuerzo_pico
INTROC-SARS-01,"PICOC[P: SARS-CoV-2 (agente) / I: descripción estructural de la entrada viral / O: la espícula une el receptor ACE2 / C: biología del coronavirus] — ""The S protein protrudes from the host-derived viral envelope and provides specificity for cellular entry receptors via the angiotensin-converting enzyme 2."" (Parkins_2023, p.5)"
INTROC-SARS-02,"PICOC[P: SARS-CoV-2 variante Ómicron / I: caracterización de mutaciones / O: 26–32 mutaciones en la espícula / C: emergencia de la variante] — ""The Omicron variant is notable for having 26–32 mutations in the spike protein."" (Zahmatkesh_2022, p.2)"
INTROC-SARS-03,"PICOC[P: aguas residuales, SARS-CoV-2 y sus linajes / I: vigilancia epidemiológica basada en aguas residuales / O: detección temprana y monitoreo de la dinámica de linajes / C: comunidad] — ""Wastewater-based epidemiological surveillance has been considered a powerful tool for early detection and monitoring of the dynamics of SARS-CoV-2 and its lineages circulating in a community."" (Haque_2023, p.1)"
INTROC-SARS-04,"PICOC[P: SARS-CoV-2 en aguas residuales / I: RT-qPCR multiplex CDC N1/N2 / O: dos regiones distintas del gen N como blancos / C: vigilancia en Bangkok, LMIC] — ""The US CDC N1 and N2 multiplex RT-qPCR assays targeting two different regions of the SARS-CoV-2 N gene..."" (Sangsanont_2022, p.3)"
INTROC-SARS-05,"PICOC[P: aguas residuales, SARS-CoV-2 / I: secuenciación metatranscriptómica / O: recuperación de linajes predominantes condicionada a cobertura suficiente / C: áreas servidas del norte de California] — ""Consensus genomes may represent predominant SARS-CoV-2 lineages in the population in the serviced areas during the summer of 2020. The results demonstrate genomic accuracy for recovery of consensus SARS-CoV-2 genomes so long as sufficient coverage is achieved in metatranscriptomic data sets."" (Crits_Christoph_2021, p.4)"
INTROC-SARS-06,"PICOC[P: aguas residuales, SARS-CoV-2 VOC / I: secuenciación y deconvolución de linajes (Freyja) / O: detección de VOC hasta 14 días antes que la clínica / C: campus UCSD vs vigilancia genómica clínica] — ""We detected emerging variants of concern up to 14 days earlier in wastewater samples, and identified multiple instances of virus spread not captured by clinical genomic surveillance."" (Karthikeyan_2022, p.1)"
INTROC-SARS-07,"PICOC[P: aguas residuales PTAR Quitumbe, SARS-CoV-2 / I: muestreo pasivo, Nanopore y Freyja / O: JN.1 detectado antes que la identificación clínica / C: Quito, Ecuador (LMIC)] — ""Notably, the JN.1 lineage appeared during the infection peaks in Quito in October 2023 and February 2024, showing proportions similar to those found in circulating clinical samples from these periods and, in some cases, appearing even before clinical identification."" (MejiaCalle_2024, p.10)"
INTROC-RSV-01,"PICOC[P: RSV como agente; caracterización virológica del patógeno] — ""RSV is an enveloped, single-stranded, negative-sense RNA virus that infects humans and has two subtypes, RSV A and RSV B"" (Zambrana_2024, p.2)"
INTROC-RSV-02,"PICOC[P: subgrupos RSV-A/RSV-B en población; C/O: alternancia de predominancia entre temporadas] — ""Multiple subtypes can circulate simultaneously within the population, with dominant subtypes typically shifting from year to year."" (Le_2025, p.2)"
INTROC-RSV-03,"PICOC[P: RSV en EEUU; O: carga de hospitalización pediátrica anual] — ""Each year in the United States, RSV causes between 58,000 and 80,000 children hospitalizations and 6,000–10,000 older adult deaths"" (Zambrana_2024, p.1)"
