id,refuerzo_pico
CON-RES-01,"PICOC[P: SARS-CoV-2 región andina / I: vigilancia genómica, linajes-clados / O: JN.1 dominante / C: Comunidad Andina] — ""evolving into multiple sub variants lineages like 22F, 23A, and 23I. This last lineage 23I (JN.1) has been dominant along 2024."" (Bruno_2025, p.4)"
CON-RES-02,"PICOC[P=aguas residuales/enterovirus; I=vigilancia molecular en aguas; O=coxsackievirus A detectado; C=cultivo/sewage] — ""The prevalence of CVAs in the SR was previously low in the sewage, although these viruses have also increased over the last 20 years"" (Kissova_2022, p.7)"
CON-RES-03,"PICOC[P=RSV en aguas residuales; I=subtipificación A/B por RT-PCR; C=cuantificación vs asignación de subtipo; O=muestra untypable si no hay señal detectable de A ni B] — ""Samples were considered to be untypable if both RSV A and RSV B were not detected."" (Zambrana_2024, p.7)"
CON-LIM-01,"PICOC[P=aguas residuales; I=RT-qPCR+secuenciación; O=cobertura/recuperación de genoma según Cq; C=contraste detección vs caracterización] — ""We obtained complete consensus SARS-CoV-2 genomes (breadth of coverage >99%) from 7 of 22 samples (31%)... Only samples with RT-qPCR CT values <33 (~25 genome copies/ml) yielded complete consensus genomes"" (Crits_Christoph_2021, p.3)"
CON-LIM-02,"PICOC[P=aguas residuales; I=muestreo/procesamiento; O=integridad del ARN; C=contexto degradación/conservación] — ""The need to process samples immediately after device deployment to prevent RNA degradation is critical."" (MejiaCalle_2024, p.61)"
CON-LIM-03,"PICOC[P=aguas residuales; I=vigilancia genómica temporal; O=detección de linajes de baja frecuencia; C=contexto duración/muestreo sostenido] — ""cryptic lineages with lower viral loads may require more consistent and long-term monitoring to be effectively detected."" (MejiaCalle_2024, p.61)"
CON-LIM-04,"PICOC[P: SARS-CoV-2 / I: secuenciación genómica (GISAID) / C: entre países / O: disparidades/escasez de genomas / C: Comunidad Andina, LMIC] — ""The analysis of GISAID database revealed significant regional disparities in SARS-CoV-2 sequencing efforts"" (Bruno_2025, p.7)"
CON-LIM-05,"PICOC[P=aguas residuales/mezclas; I=secuenciación dirigida+clasificación de linajes; O=variantes de baja abundancia no resueltas; C=contraste muestra clínica de variante única vs mezcla] — ""tools for SARS-CoV-2 lineage classification, such as pangolin and UShER, were designed for clinical samples containing a single dominant variant, and cannot estimate relative abundances of multiple SARS-CoV-2 lineages in samples with virus mixtures such as wastewater."" (Karthikeyan_2022, p.1)"
CON-LIM-06,"PICOC[P=poliovirus/enterovirus; I=tipificación por secuenciación; O=serotipo definido por VP1; C=región genómica] — ""are sequenced for Viral Protein 1 region (VP1) (~900-nucleotide stretch) of the poliovirus genome following standardized procedures using standardized sequencing primer sets. VP1 region encodes several serotype specific antigenic sites"" (Martin_2016, p.28)"
CON-IMP-01,"PICOC[P=aguas residuales; I=vigilancia ambiental+secuenciación; O=detección temprana/respuesta de salud pública; C=contraste con vigilancia clínica] — ""Environmental surveillance allowed early detection of poliovirus importation and circulation in London, permitting a rapid public health response, including enhanced surveillance and an inactivated polio vaccine campaign among children aged 1–9 years."" (Klapsa_2022, p.1)"
CON-IMP-02,"PICOC[P=aguas residuales; I=RT-qPCR+secuenciación por amplicones; O=cobertura de genoma según Cq; C=selección de muestras útiles por carga] — ""High genome coverage breadth was obtained for SARS-CoV-2 across all samples with tiled-PCR amplification (Fig. 4a), which was significantly correlated with the Ct values from RT-qPCR"" (Child_2023, p.6)"
CON-IMP-03,"PICOC[P=aguas residuales; I=secuenciación de lectura corta+avances de concentración; O=recuperación de genoma a baja carga; C=contraste con estudios previos] — ""We obtained near 95% genome coverage even for samples with low viral load, compared with 40% or below from previous studies, a key advance that allowed us to build a robust pipeline to monitor virus lineage prevalence in community wastewater."" (Karthikeyan_2022, p.1)"
CON-IMP-04,"PICOC[P=aguas residuales; I=vigilancia (WBS)+integración; O=mitigación de brotes; C=integración con estrategias de vigilancia poblacional] — ""integrating WBS of SARS-CoV-2 into surveillance strategies at correctional facilities may minimize the impact of future COVID-19 outbreaks"" (Parkins_2023, p.30)"
RES-ENC-01,sin refuerzo disponible
RES-CUANT-01,"PICOC[P: SARS-CoV-2 en aguas / I: RT-qPCR + secuenciación / O: umbral Ct<33 para genoma completo (relación Cq-cobertura) / C: baja carga] — ""Only samples with RT-qPCR CT values <33 (~25 genome copies/µl) yielded complete consensus genomes"" (Crits_Christoph_2021, p.3)"
RES-SARS-01,"PICOC[P: SARS-CoV-2 en aguas residuales / I: WBE / C: vs clínica / O: lead time, anticipa diagnósticos] — ""The potential for WBE data to identify changes in community disease dynamics prior to clinical diagnoses is consistently reported, with the lead time varying from study to study."" (Acosta_2022, p.7)"
RES-SARS-02,"PICOC[P: SARS-CoV-2 en aguas / I: secuenciación de aguas / C: vs clínica / O: recupera prevalencia de variantes locales / C: LMIC (Sudáfrica)] — ""We show that wastewater genomics can support SARS-CoV-2 epidemiological investigations by reliably recovering the prevalence of local circulating variants, even when clinical samples are not available."" (Yousif_2023, p.1)"
RES-SARS-03,"PICOC[P: SARS-CoV-2 en aguas / I: secuenciación (enriquecimiento vs no) / O: genoma completo solo con Ct bajo / C: Cq tardío/baja carga] — ""One previous study using the same hybrid-capture panel for sequencing SARS-CoV-2 in wastewater obtained complete consensus genomes for samples with Ct values <33, while sequencing without enrichment yielded a maximum of 40 read pairs"" (Child_2023, p.12)"
RES-SARS-04,"PICOC[P: SARS-CoV-2 en aguas / I: vigilancia genómica / O: baja carga viral -> cobertura pobre / C: matriz ambiental compleja] — ""Low viral loads, heavily fragmented RNA and PCR inhibitors in complex environmental samples lead to poor sequencing coverage"" (Karthikeyan_2022, p.1)"
RES-SARS-05,"PICOC[P: SARS-CoV-2 en aguas / I: metatranscriptómica sin enriquecimiento / O: dificultad de detectar virus, <40 read pairs / C: matriz dominada por material no diana] — ""Without enrichment, we were able to only detect fewer than 40 total SARS-CoV-2 read pairs (Fig. 1c; see also Table S1). While this illustrates the difficulty of detecting specific viruses in wastewater in unenriched sequencing data sets, larger sequencing efforts may overcome this limitation by sequencing more deeply."" (Crits_Christoph_2021, p.3)"
RES-ENT-01,"PICOC[P=enterovirus no polio en aguas; I=vigilancia ambiental; O=detección esperada de NPEV; C=aguas residuales] — ""Thus NPEV should be always be detected in wastewater and can be used as control of the overall procedures"" (Bubba_2023, p.2)"
RES-ENT-02,"PICOC[P=poliovirus/enterovirus; I=vigilancia ambiental (ES); C=vs vigilancia de PFA/AFP; O=detección en ausencia de casos] — ""isolates in the absence of WPV-positive AFP cases from the same area, thereby enabling a focus on preventive action in these areas because of the detected circulation in locations where either no AFP cases have yet occurred or are cases have been underreported"" (Asghar_2014, p.4)"
RES-ENT-03,"PICOC[P=poliovirus; I=vigilancia ambiental molecular; C=vs vigilancia clínica; O=circulación silenciosa sin casos paralíticos] — ""which offers excellent protection against paralysis but is less effective than oral vaccine against poliovirus shedding, potentially allowing circulation without detection of paralytic cases for long periods of time"" (Klapsa_2022, p.1)"
RES-ENT-04,"PICOC[P=poliovirus en aguas; I=vigilancia; C=contexto país con IPV; O=sensibilidad de detección reducida] — ""the future expansion of the use of inactivated polio vaccine (IPV), which provides limited protection against infection, could contribute to reduced surveillance sensitivity"" (MasLago_2003, p.2)"
RES-ENT-05,"PICOC[P=poliovirus ambiental; I=detección molecular (RT-PCR); C=vs cultivo celular; O=sensibilidad] — ""quantitative RT-PCR capable of amplifying all polioviruses through the use of degenerate (pan-poliovirus) primers has historically reported low sensitivity compared with that of cell culture"" (Shaw_2020, p.2)"
RES-RSV-01,"PICOC[P=RSV; I=secuenciación/genoma completo; C=carga viral por copias/mL; O=genoma solo con >10.000 copias/mL, ninguno con <1.000] — ""Whole genomes (> 90% coverage) were obtained from 98% of samples with > 10,000 copies/mL, from 3/14 samples with 1,000–10,000 copies/mL, and from none with < 1,000 copies/mL."" (Le_2025, p.1)"
RES-RSV-02,"PICOC[P=RSV en aguas residuales; I=cuantificación por RT-qPCR; C=vs registro nacional de incidencia clínica; O=correlación positiva con incidencia] — ""reverse-transcription quantitative polymerase chain reaction (RT-qPCR). Respiratory syncytial virus wastewater data were positively correlated with the National Infectious Diseases Register-based sampling week incidence (correlation coefficient, CC min = 0.412, max = 0.865)"" (Lansivaara_2024, p.1)"
RES-COMP-01,"PICOC[P=aguas residuales; I=vigilancia de virus respiratorios; O=ventana temporal de circulación; C=contexto estacional/circulación local por virus] — ""annual variation of the start and the end of the RSV season, it makes perfect sense that passive prophylaxis programs should be initiated according to the local RSV circulation pattern"" (Parkins_2023, p.33)"
RES-SINT-01,"PICOC[P=aguas residuales; I=secuenciación (enriquecimiento/amplicón); O=recuperación de genoma según carga viral; C=contraste entre métodos según concentración] — ""the genome coverage breadth obtained for hybrid-capture enrichment was considerably more variable (Fig. 4a and b), likely dependent on the variable concentration of SARS-CoV-2 RNA in the samples"" (Child_2023, p.6)"
